,apprun:nanotime,apprun:threadid,apploc:regionstr,apploc:tier,apploc:node,apploc:filename,apploc:etype,apploc:linenr,apploc:app,apploc:joinpoint,org:resource,time:timestamp,lifecycle:transition,concept:name,apprun:excatchtype,apprun:exthrowtype
0,97573674984647,1,,symdym-examples,0.1-SNAPSHOT,TestCEV.java,call_new,9,symdym,cev.TestCEV(),1,2017-02-10 13:54:55.423000+01:00,start,cev.TestCEV(),,
1,97573675855347,1,,symdym-examples,0.1-SNAPSHOT,TestCEV.java,return_new,9,symdym,cev.TestCEV(),1,2017-02-10 13:54:55.424000+01:00,complete,cev.TestCEV(),,
2,97578777056280,1,,symdym-examples,0.1-SNAPSHOT,TestCEV.java,call,13,symdym,cev.TestCEV.test_1(),1,2017-02-10 13:55:00.524000+01:00,start,cev.TestCEV.test_1(),,
3,97578828921956,1,,symdym-examples,0.1-SNAPSHOT,CEV.java,call_new,20,symdym,cev.CEV(),1,2017-02-10 13:55:00.577000+01:00,start,cev.CEV(),,
4,97578832073326,1,,symdym-examples,0.1-SNAPSHOT,ErrorLog.java,call_new,29,symdym,cev.ErrorLog(),1,2017-02-10 13:55:00.580000+01:00,start,cev.ErrorLog(),,
5,97578832218728,1,,symdym-examples,0.1-SNAPSHOT,ErrorLog.java,return_new,29,symdym,cev.ErrorLog(),1,2017-02-10 13:55:00.580000+01:00,complete,cev.ErrorLog(),,
6,97578838197308,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,call_new,31,symdym,cev.Failures(cev.ErrorLog),1,2017-02-10 13:55:00.586000+01:00,start,cev.Failures(cev.ErrorLog),,
7,97578843935975,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,call_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.592000+01:00,start,"cev.Failures$Type(java.lang.String,int)",,
8,97578844115589,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,return_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.592000+01:00,complete,"cev.Failures$Type(java.lang.String,int)",,
9,97578844207534,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,call_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.592000+01:00,start,"cev.Failures$Type(java.lang.String,int)",,
10,97578844281090,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,return_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.592000+01:00,complete,"cev.Failures$Type(java.lang.String,int)",,
11,97578844351225,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,call_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.592000+01:00,start,"cev.Failures$Type(java.lang.String,int)",,
12,97578844413235,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,return_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.592000+01:00,complete,"cev.Failures$Type(java.lang.String,int)",,
13,97578844483797,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,call_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.593000+01:00,start,"cev.Failures$Type(java.lang.String,int)",,
14,97578844543241,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,return_new,24,symdym,"cev.Failures$Type(java.lang.String,int)",1,2017-02-10 13:55:00.593000+01:00,complete,"cev.Failures$Type(java.lang.String,int)",,
15,97578844610383,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,call,1,symdym,cev.Failures$Type.values(),1,2017-02-10 13:55:00.593000+01:00,start,cev.Failures$Type.values(),,
16,97578844682228,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,return,1,symdym,cev.Failures$Type.values(),1,2017-02-10 13:55:00.593000+01:00,complete,cev.Failures$Type.values(),,
17,97578844753218,1,,symdym-examples,0.1-SNAPSHOT,Failures.java,return_new,31,symdym,cev.Failures(cev.ErrorLog),1,2017-02-10 13:55:00.593000+01:00,complete,cev.Failures(cev.ErrorLog),,
18,97578864222519,1,,symdym-examples,0.1-SNAPSHOT,Spacecraft.java,call_new,36,symdym,"cev.Spacecraft(cev.Failures,cev.ErrorLog)",1,2017-02-10 13:55:00.612000+01:00,start,"cev.Spacecraft(cev.Failures,cev.ErrorLog)",,
19,97578864411541,1,,symdym-examples,0.1-SNAPSHOT,Spacecraft.java,return_new,36,symdym,"cev.Spacecraft(cev.Failures,cev.ErrorLog)",1,2017-02-10 13:55:00.612000+01:00,complete,"cev.Spacecraft(cev.Failures,cev.ErrorLog)",,
20,97578864507335,1,,symdym-examples,0.1-SNAPSHOT,CEV.java,return_new,20,symdym,cev.CEV(),1,2017-02-10 13:55:00.613000+01:00,complete,cev.CEV(),,
21,97578864575332,1,,symdym-examples,0.1-SNAPSHOT,CEV.java,call,158,symdym,cev.CEV.tliBurn(),1,2017-02-10 13:55:00.613000+01:00,start,cev.CEV.tliBurn(),,
22,97578864642901,1,,symdym-examples,0.1-SNAPSHOT,Spacecraft.java,call,176,symdym,cev.Spacecraft.readyForTliBurn(),1,2017-02-10 13:55:00.613000+01:00,start,cev.Spacecraft.readyForTliBurn(),,
23,97578864737840,1,,symdym-examples,0.1-SNAPSHOT,ErrorLog.java,call,37,symdym,cev.ErrorLog.log(java.lang.String),1,2017-02-10 13:55:00.613000+01:00,start,cev.ErrorLog.log(java.lang.String),,
24,97578864812252,1,,symdym-examples,0.1-SNAPSHOT,ErrorLog.java,return,37,symdym,cev.ErrorLog.log(java.lang.String),1,2017-02-10 13:55:00.613000+01:00,complete,cev.ErrorLog.log(java.lang.String),,
25,97578864964923,1,,symdym-examples,0.1-SNAPSHOT,Spacecraft.java,return,176,symdym,cev.Spacecraft.readyForTliBurn(),1,2017-02-10 13:55:00.613000+01:00,complete,cev.Spacecraft.readyForTliBurn(),,
26,97578865076113,1,,symdym-examples,0.1-SNAPSHOT,ErrorLog.java,call,42,symdym,cev.ErrorLog.last(),1,2017-02-10 13:55:00.613000+01:00,start,cev.ErrorLog.last(),,
27,97578865147531,1,,symdym-examples,0.1-SNAPSHOT,ErrorLog.java,return,42,symdym,cev.ErrorLog.last(),1,2017-02-10 13:55:00.613000+01:00,complete,cev.ErrorLog.last(),,
28,97578865322441,1,,symdym-examples,0.1-SNAPSHOT,CEV.java,throw,158,symdym,cev.CEV.tliBurn(),1,2017-02-10 13:55:00.613000+01:00,complete,cev.CEV.tliBurn(),<uncaught>,java.lang.AssertionError
